x,y,z,occ
19.796000,8.484000,0.000000,1
16.968000,5.656000,5.656000,1
16.968000,8.484000,8.484000,1
19.796000,5.656000,8.484000,1
19.796000,8.484000,5.656000,1
16.968000,5.656000,11.312000,1
16.968000,8.484000,14.140000,1
19.796000,5.656000,14.140000,1
19.796000,8.484000,11.312000,1
16.968000,5.656000,16.968000,1
16.968000,8.484000,19.796000,1
19.796000,5.656000,19.796000,1
19.796000,8.484000,16.968000,1
16.968000,5.656000,22.624000,1
16.968000,8.484000,25.452000,1
19.796000,5.656000,25.452000,1
19.796000,8.484000,22.624000,1
16.968000,11.312000,0.000000,1
16.968000,14.140000,2.828000,1
19.796000,11.312000,2.828000,1
19.796000,14.140000,0.000000,1
16.968000,11.312000,5.656000,1
16.968000,14.140000,8.484000,1
19.796000,11.312000,8.484000,1
19.796000,14.140000,5.656000,1
16.968000,11.312000,11.312000,1
16.968000,14.140000,14.140000,1
19.796000,11.312000,14.140000,1
19.796000,14.140000,11.312000,1
16.968000,11.312000,16.968000,1
16.968000,14.140000,19.796000,1
19.796000,11.312000,19.796000,1
19.796000,14.140000,16.968000,1
16.968000,11.312000,22.624000,1
16.968000,14.140000,25.452000,1
19.796000,11.312000,25.452000,1
19.796000,14.140000,22.624000,1
16.968000,16.968000,0.000000,1
16.968000,19.796000,2.828000,1
19.796000,16.968000,2.828000,1
19.796000,19.796000,0.000000,1
16.968000,16.968000,5.656000,1
16.968000,19.796000,8.484000,1
19.796000,16.968000,8.484000,1
19.796000,19.796000,5.656000,1
16.968000,16.968000,11.312000,1
16.968000,19.796000,14.140000,1
19.796000,16.968000,14.140000,1
19.796000,19.796000,11.312000,1
16.968000,16.968000,16.968000,1
16.968000,19.796000,19.796000,1
19.796000,16.968000,19.796000,1
19.796000,19.796000,16.968000,1
16.968000,16.968000,22.624000,1
16.968000,19.796000,25.452000,1
19.796000,16.968000,25.452000,1
19.796000,19.796000,22.624000,1
16.968000,22.624000,0.000000,1
16.968000,25.452000,2.828000,1
19.796000,22.624000,2.828000,1
19.796000,25.452000,0.000000,1
16.968000,22.624000,5.656000,0
16.968000,25.452000,8.484000,1
19.796000,22.624000,8.484000,1
19.796000,25.452000,5.656000,1
16.968000,22.624000,11.312000,1
16.968000,25.452000,14.140000,1
19.796000,22.624000,14.140000,1
19.796000,25.452000,11.312000,1
16.968000,22.624000,16.968000,1
16.968000,25.452000,19.796000,1
19.796000,22.624000,19.796000,1
19.796000,25.452000,16.968000,1
16.968000,22.624000,22.624000,1
16.968000,25.452000,25.452000,1
19.796000,22.624000,25.452000,1
19.796000,25.452000,22.624000,1
22.624000,0.000000,0.000000,1
22.624000,2.828000,2.828000,1
25.452000,0.000000,2.828000,1
25.452000,2.828000,0.000000,1
22.624000,0.000000,5.656000,1
22.624000,2.828000,8.484000,1
25.452000,0.000000,8.484000,1
25.452000,2.828000,5.656000,1
22.624000,0.000000,11.312000,1
22.624000,2.828000,14.140000,1
25.452000,0.000000,14.140000,1
25.452000,2.828000,11.312000,1
22.624000,0.000000,16.968000,1
22.624000,2.828000,19.796000,1
25.452000,0.000000,19.796000,1
25.452000,2.828000,16.968000,1
22.624000,0.000000,22.624000,1
22.624000,2.828000,25.452000,1
25.452000,0.000000,25.452000,1
25.452000,2.828000,22.624000,1
22.624000,5.656000,0.000000,1
22.624000,8.484000,2.828000,1
25.452000,5.656000,2.828000,0
25.452000,8.484000,0.000000,1
22.624000,5.656000,5.656000,1
22.624000,8.484000,8.484000,1
25.452000,5.656000,8.484000,1
25.452000,8.484000,5.656000,1
22.624000,5.656000,11.312000,1
22.624000,8.484000,14.140000,1
25.452000,5.656000,14.140000,1
25.452000,8.484000,11.312000,1
22.624000,5.656000,16.968000,1
22.624000,8.484000,19.796000,1
25.452000,5.656000,19.796000,1
25.452000,8.484000,16.968000,1
22.624000,5.656000,22.624000,1
22.624000,8.484000,25.452000,1
25.452000,5.656000,25.452000,1
25.452000,8.484000,22.624000,0
22.624000,11.312000,0.000000,1
22.624000,14.140000,2.828000,1
25.452000,11.312000,2.828000,1
25.452000,14.140000,0.000000,1
22.624000,11.312000,5.656000,1
22.624000,14.140000,8.484000,1
25.452000,11.312000,8.484000,1
25.452000,14.140000,5.656000,1
22.624000,11.312000,11.312000,1
22.624000,14.140000,14.140000,1
25.452000,11.312000,14.140000,1
25.452000,14.140000,11.312000,1
22.624000,11.312000,16.968000,1
22.624000,14.140000,19.796000,1
25.452000,11.312000,19.796000,1
25.452000,14.140000,16.968000,1
22.624000,11.312000,22.624000,1
22.624000,14.140000,25.452000,1
25.452000,11.312000,25.452000,1
25.452000,14.140000,22.624000,1
22.624000,16.968000,0.000000,1
22.624000,19.796000,2.828000,1
25.452000,16.968000,2.828000,1
25.452000,19.796000,0.000000,1
22.624000,16.968000,5.656000,1
22.624000,19.796000,8.484000,1
25.452000,16.968000,8.484000,1
25.452000,19.796000,5.656000,1
22.624000,16.968000,11.312000,1
22.624000,19.796000,14.140000,1
25.452000,16.968000,14.140000,1
25.452000,19.796000,11.312000,1
22.624000,16.968000,16.968000,1
22.624000,19.796000,19.796000,1
25.452000,16.968000,19.796000,1
25.452000,19.796000,16.968000,1
22.624000,16.968000,22.624000,1
22.624000,19.796000,25.452000,1
25.452000,16.968000,25.452000,1
25.452000,19.796000,22.624000,1
22.624000,22.624000,0.000000,1
22.624000,25.452000,2.828000,1
25.452000,22.624000,2.828000,1
25.452000,25.452000,0.000000,1
22.624000,22.624000,5.656000,1
22.624000,25.452000,8.484000,1
25.452000,22.624000,8.484000,1
25.452000,25.452000,5.656000,1
22.624000,22.624000,11.312000,1
22.624000,25.452000,14.140000,1
25.452000,22.624000,14.140000,1
25.452000,25.452000,11.312000,1
22.624000,22.624000,16.968000,1
22.624000,25.452000,19.796000,1
25.452000,22.624000,19.796000,1
25.452000,25.452000,16.968000,1
22.624000,22.624000,22.624000,1
22.624000,25.452000,25.452000,1
25.452000,22.624000,25.452000,1
25.452000,25.452000,22.624000,1
